DATASET,CATEGORY,FILE
museo,correspondencia,OFI_MNCR-DAF-AC-022-2025 AI Anexo 2 MICITT-DGDCFD-OF-000132-2025.md
museo,correspondencia,OFI_MNCR-DAF-AC-022-2025 AI.md
museo,correspondencia,OFI_MNCR-DAF-AC-023-2025 Comision NICSP.md
museo,correspondencia,OFI_MNCR-DAH-214-2025 avance en inventario de mapas.md
museo,correspondencia,OFI_MNCR-JA-117-2025 DG Resguardo de archivos del MNCR Act 07 Ac 09-firmado.md
museo,correspondencia,Recomendaciones_atención_material_gráfico_MNCR.md
museo,correspondencia,RNMM-034-2025.md
museo,correspondencia,RNMM-036-2025.md
museo,expedientes de proyectos y programas institucionales,CE-Grettel Monge-14AGO2025.md
museo,expedientes de proyectos y programas institucionales,CONV_MNCR-DG-AJ-016-2025.md
museo,expedientes de proyectos y programas institucionales,MIN_MNCR-DAF-AC-003-2025 Coleccion Pittier MNCR Version 3.md
museo,expedientes de proyectos y programas institucionales,OFI_MNCR-DAF-AC-001-2025 DHN.md
museo,expedientes de proyectos y programas institucionales,OFI_MNCR-DAF-AC-002-2025 DPPC.md
museo,expedientes de proyectos y programas institucionales,OFI_MNCR-DAF-AC-004-2025 DPPC 1.md
museo,expedientes de proyectos y programas institucionales,OFI_MNCR-DAF-AC-010-2025 DG avances.md
museo,expedientes de proyectos y programas institucionales,OFI_MNCR-DAF-AC-011-2025 DPPC.md
museo,expedientes de proyectos y programas institucionales,OFI_MNCR-DAF-AC-012-2025 DHN.md
museo,expedientes de proyectos y programas institucionales,OFI_MNCR-DAF-AC-013-2025 Memoria del Mundo.md
museo,expedientes de proyectos y programas institucionales,OFI_MNCR-DAF-AC-014-2025 Establecer convenio.md
museo,expedientes de proyectos y programas institucionales,OFI_MNCR-DAF-AC-020-2025 AJ convenio.md
museo,expedientes de proyectos y programas institucionales,OFI_MNCR-DAF-AC-020-2025 anexo 1.md
museo,expedientes de proyectos y programas institucionales,OFI_MNCR-DAF-AC-020-2025 anexo 2.md
museo,expedientes de proyectos y programas institucionales,OFI_MNCR-DAF-AC-021-2025 JA.md
museo,expedientes de proyectos y programas institucionales,OFI_MNCR-DG-036-2025_Colección_Henry_Pitter.md
museo,expedientes de proyectos y programas institucionales,OFI_MNCR-JA-311-2025 convenio medio ambiente reciclaje.md
museo,expedientes de proyectos y programas institucionales,PRO_ MNCR-DAF-AC-001-2025 Proyecto Archivo Digital.md
museo,expedientes de proyectos y programas institucionales,Taller Pittier Memoria del Mundo VF 6NOV.md
museo,expedientes de transferencias de documentos,Lista de remision AFC T02-2025.md
museo,expedientes de transferencias de documentos,Lista de remision DG T01-2025.md
museo,expedientes de transferencias de documentos,Lista de remision RH T04-2025.md
museo,expedientes de transferencias de documentos,Lista de remision T05-2025 DPM.md
museo,expedientes de transferencias de documentos,MEM_MNCR-DAF-AC-001-2015.md
museo,expedientes de transferencias de documentos,MEM_MNCR-DAF-AC-003-2025.md
museo,expedientes de transferencias de documentos,OFI MNCR-DAF-AFC-015-2025    Remision de expedientes al Archivo Institucional.md
museo,expedientes de transferencias de documentos,OFI MNCR-DAF-GIRHA-679-2025 Remisión de expedientes - Archivo Central.md
museo,expedientes de transferencias de documentos,OFI_MNCR-DG-030-2025 _envio transferencia T01-2025.md
museo,expedientes de transferencias de documentos,OFI_MNCR-DG-031-2025_salida cajas.md
museo,expedientes de transferencias de documentos,OFI_MNCR-DPM-180-2025.md
museo,expedientes de trámites laborales,40-2025 MN Sofía Irola Rojas.md
museo,expedientes de trámites laborales,76-2025 MN Sofía Irola Rojas 1.md
museo,expedientes de trámites laborales,ASISTENCIA- Sofía Irola-07MAR2025.md
museo,expedientes de trámites laborales,ASISTENCIA- Sofía Irola-10DIC2025.md
museo,expedientes de trámites laborales,ASISTENCIA- Sofía Irola-15JUL2025.md
museo,expedientes de trámites laborales,ASISTENCIA- Sofía Irola-16ABR2025.md
museo,expedientes de trámites laborales,ASISTENCIA- Sofía Irola-16JUL2025.md
museo,expedientes de trámites laborales,ASISTENCIA- Sofía Irola-17OCT2025.md
museo,expedientes de trámites laborales,ASISTENCIA- Sofía Irola-18FEB2025.md
museo,expedientes de trámites laborales,ASISTENCIA- Sofía Irola-18JUN2025.md
museo,expedientes de trámites laborales,ASISTENCIA- Sofía Irola-19FEB2025.md
museo,expedientes de trámites laborales,ASISTENCIA- Sofía Irola-20 y 24JUN2025.md
museo,expedientes de trámites laborales,ASISTENCIA- Sofía Irola-20y21FEB2025.md
museo,expedientes de trámites laborales,ASISTENCIA- Sofía Irola-22ABR2025.md
museo,expedientes de trámites laborales,ASISTENCIA- Sofía Irola-23SET2025.md
museo,expedientes de trámites laborales,ASISTENCIA- Sofía Irola-28-30JUL2025.md
museo,expedientes de trámites laborales,ASISTENCIA-Sofia Irola-01NOV2024.md
museo,expedientes de trámites laborales,ASISTENCIA-Sofia Irola-05y08NOV2024.md
museo,expedientes de trámites laborales,ASISTENCIA-SOFIA IROLA-06DIC2024.md
museo,expedientes de trámites laborales,ASISTENCIA-Sofia Irola-06y10SET2024.md
museo,expedientes de trámites laborales,ASISTENCIA-Sofia Irola-10y11DIC2024.md
museo,expedientes de trámites laborales,ASISTENCIA-Sofia Irola-12DIC2024.md
museo,expedientes de trámites laborales,ASISTENCIA-Sofia Irola-15y21ENE2025.md
museo,expedientes de trámites laborales,ASISTENCIA-Sofia Irola-16-19DIC2024.md
museo,expedientes de trámites laborales,ASISTENCIA-Sofia Irola-17al19SET2024.md
museo,expedientes de trámites laborales,ASISTENCIA-Sofia Irola-18OCT2024.md
museo,expedientes de trámites laborales,ASISTENCIA-Sofia Irola-19NOV2024.md
museo,expedientes de trámites laborales,ASISTENCIA-Sofia Irola-22NOV2024.md
museo,expedientes de trámites laborales,ASISTENCIA-Sofia Irola-26SET2024.md
museo,expedientes de trámites laborales,Boleta de Capacitación SIR.md
museo,expedientes de trámites laborales,Capacitacion SIR_JUL2025.md
museo,expedientes de trámites laborales,Capacitación más 12 horas Sofia Irola.md
museo,expedientes de trámites laborales,Capacitación SIR 7MAR.md
museo,expedientes de trámites laborales,Capacitación SIR MICITT.md
museo,expedientes de trámites laborales,Contrato de Teletrabajo Sofia Irola 1.md
museo,expedientes de trámites laborales,EVALUACIÓN DEL DESEMPEÑO 2024 SIR febrero.md
museo,expedientes de trámites laborales,Factura a Museo por hospedaje Sofia Irola.md
museo,expedientes de trámites laborales,FORMULARIO EVALUACIÓN DEL DESEMPEÑO 2024 SIR.md
museo,expedientes de trámites laborales,INF_MNCR-DAF-AC-023-2025 teletrabajo setiembre.md
museo,expedientes de trámites laborales,Inscripción capacitacion DIC2024 SIR.md
museo,expedientes de trámites laborales,Justificación de asistencia Sofia Irola 01-08.md
museo,expedientes de trámites laborales,Justificación de asistencia Sofia Irola 02y03-09.md
museo,expedientes de trámites laborales,Justificación de asistencia Sofia Irola 05-09.md
museo,expedientes de trámites laborales,Justificación de asistencia Sofia Irola 08-08.md
museo,expedientes de trámites laborales,Justificación de asistencia Sofia Irola 16-07.md
museo,expedientes de trámites laborales,Justificación de asistencia Sofia Irola 18-07.md
museo,expedientes de trámites laborales,Justificación de asistencia Sofia Irola 21-08 anexo.md
museo,expedientes de trámites laborales,Justificación de asistencia Sofia Irola 21-08.md
museo,expedientes de trámites laborales,Justificación de asistencia Sofia Irola 22-07.md
museo,expedientes de trámites laborales,Justificación de asistencia Sofia Irola 24-07.md
museo,expedientes de trámites laborales,Justificación de asistencia Sofia Irola 29-08 anexo.md
museo,expedientes de trámites laborales,Justificación de asistencia Sofia Irola 29-08.md
museo,expedientes de trámites laborales,Justificación de asistencia Sofia Irola 31-07.md
museo,expedientes de trámites laborales,Justificación de asistencia Sofia Irola.md
museo,expedientes de trámites laborales,OFI MNCR-DAF-AC-007-2024 Cambio de horario.md
museo,expedientes de trámites laborales,OFI MNCR-DAF-GIRHA-771-2024. Sofía Irola Rojas. Contrato Teletrabajo.md
museo,expedientes de trámites laborales,OFI_MNCR-DAF-AC-003-2025 RH.md
museo,expedientes de trámites laborales,OFI_MNCR-DAF-AC-005-2025 RH.md
museo,expedientes de trámites laborales,OFI_MNCR-DAF-AC-006-2025 RH.md
museo,expedientes de trámites laborales,OFI_MNCR-DAF-AC-009-2025 RH.md
museo,expedientes de trámites laborales,OFI_MNCR-DAF-AC-017-2025 RH cambio de horario.md
museo,expedientes de trámites laborales,OFI_MNCR-DAF-AC-018-2025 JDAF.md
museo,expedientes de trámites laborales,OFI_MNCR-DAF-AC-019-2025 RH.md
museo,expedientes de trámites laborales,OFI_MNCR-DAF-AC-034-2025 RH.md
museo,expedientes de trámites laborales,OFI_MNCR-DG-222-2025 carta recomendación Sofía Irola.md
museo,expedientes de trámites laborales,OFI_MNCR-DG-314-2025_uso vehículo Institucional.md
museo,expedientes de trámites laborales,Planificación EVALUACIÓN DEL DESEMPEÑO SIR 2025.md
museo,expedientes de trámites laborales,Seguimiento EVALUACIÓN DEL DESEMPEÑO SIR 2025.md
museo,expedientes de trámites laborales,Sofia Irola Rojas.md
museo,expedientes de trámites laborales,SOL MNCR-DAF-11DIC2024 Transporte AC.md
museo,expedientes de trámites laborales,SOL MNCR-DAF-21NOV2024 Traslado de Bienes- Deshumidificador.md
museo,expedientes de trámites laborales,SOL MNCR-DAF-22NOV2024 Traslado de Bienes.md
museo,expedientes de trámites laborales,SOL MNCR-DAF-AC-17Y18SET2024 Capacitación SIR.md
museo,expedientes de trámites laborales,SOL MNCR-DAF-AC-19SET2024 Capacitación SIR.md
museo,expedientes de trámites laborales,Solicitud vacaciones Sofia Irola 26-07.md
museo,expedientes de trámites laborales,SOL_ MNCR-DAF-AC-012-2025_transporte.md
museo,expedientes de trámites laborales,SOL_MNCR-DAF-AC-001-2025 adelanto viaticos SIR.md
museo,expedientes de trámites laborales,SOL_MNCR-DAF-AC-002-2025 liquidacion viaticos SIR.md
museo,expedientes de trámites laborales,SOL_MNCR-DAF-AC-003-2025 traslado CPU.md
museo,expedientes de trámites laborales,SOL_MNCR-DAF-AC-004-2025 traslado equipos UI.md
museo,expedientes de trámites laborales,SOL_MNCR-DAF-AC-005-2025 salida de activos.md
museo,expedientes de trámites laborales,SOL_MNCR-DAF-AC-013-2025 grabadora UI.md
museo,expedientes de trámites laborales,SOL_MNCR-DG-UI-118-2025 ACTIVOS A ARCHIVO CENTRAL.md
museo,expedientes de trámites laborales,SOL_MNCR-UI-045-2025 Dell Optiplex 3060 Archivo.md
museo,expedientes de trámites laborales,SOL_MNCR-UI-079-2025 WebCam Archivo Central.md
museo,expedientes de trámites laborales,Traslado de activos Jerry González a Sofía Irola.md
museo,expedientes de trámites laborales,VACACIONES-Sofia Irola-01JUL2025.md
museo,expedientes de trámites laborales,VACACIONES-Sofia Irola-09SET2024.md
museo,expedientes de trámites laborales,VACACIONES-Sofia Irola-21-22OCT2025.md
museo,expedientes de trámites laborales,VACACIONES-Sofia Irola-25-27AGO2025.md
museo,expedientes de trámites laborales,VACACIONES-Sofia Irola-27NOV al 02DIC2024.md
museo,expedientes sobre voluntariado,GIRHA-2024-O-672-2024. Srita. Lisseth Rojas Villarreal.md
museo,expedientes sobre voluntariado,OFI MNCR-DAF-GIRHA-758-2024. Alexia  Fiorella Rojas Calderón.md
museo,informes,AC-2024-I-001 informe agosto.md
museo,informes,INF MNCR-DAF-AC-002-2024 setiembre.md
museo,informes,INF MNCR-DAF-AC-003-2024 octubre.md
museo,informes,INF MNCR-DAF-AC-004-2024 teletrabajo octubre.md
museo,informes,INF MNCR-DAF-AC-005-2024 noviembre.md
museo,informes,INF MNCR-DAF-AC-006-2024 teletrabajo noviembre.md
museo,informes,INF MNCR-DAF-AC-007-2024 participación comisiones.md
museo,informes,INF MNCR-DAH-101-2024 Reporte de incidente Mapoteca DAH VF 1.md
museo,informes,Informe Anual de Desarrollo Archivístico 2024-2025.md
museo,informes,INF_MNCR-DAF-AC-001-2025 teletrabajo enero.md
museo,informes,INF_MNCR-DAF-AC-002-2025 labores enero.md
museo,informes,INF_MNCR-DAF-AC-003-2025 teletrabajo febrero.md
museo,informes,INF_MNCR-DAF-AC-004-2025 labores febrero.md
museo,informes,INF_MNCR-DAF-AC-005-2025 Asesoria DAH.md
museo,informes,INF_MNCR-DAF-AC-006-2025 labores marzo.md
museo,informes,INF_MNCR-DAF-AC-007-2025 teletrabajo marzo.md
museo,informes,INF_MNCR-DAF-AC-008-2025 reacomodo.md
museo,informes,INF_MNCR-DAF-AC-009-2025 labores abril.md
museo,informes,INF_MNCR-DAF-AC-010-2025 teletrabajo abril.md
museo,informes,INF_MNCR-DAF-AC-011-2025 DAH conservacion.md
museo,informes,INF_MNCR-DAF-AC-012-2025 labores mayo.md
museo,informes,INF_MNCR-DAF-AC-013-2025 teletrabajo mayo.md
museo,informes,INF_MNCR-DAF-AC-014-2025 Asesoria DPPC.md
museo,informes,INF_MNCR-DAF-AC-015-2025 labores junio.md
museo,informes,INF_MNCR-DAF-AC-016-2025 teletrabajo junio.md
museo,informes,INF_MNCR-DAF-AC-017-2025 labores julio.md
museo,informes,INF_MNCR-DAF-AC-018-2025 teletrabajo julio.md
museo,informes,INF_MNCR-DAF-AC-019-2025 participacion en comisiones.md
museo,informes,INF_MNCR-DAF-AC-020-2025 labores agosto.md
museo,informes,INF_MNCR-DAF-AC-021-2025 teletrabajo agosto.md
museo,informes,INF_MNCR-DAF-AC-022-2025 labores setiembre.md
museo,informes,INF_MNCR-DAF-AC-023-2025 teletrabajo setiembre.md
museo,informes,INF_MNCR-DAF-AC-024-2025 labores octubre.md
museo,informes,INF_MNCR-DAF-AC-025-2025 teletrabajo octubre.md
museo,informes,OFI MNCR-DAH-249-2024 Entrega IF Reporte de Incidente Mapoteca DAH.md
museo,informes,OFI_MNCR-DAF-AC-007-2025 DG IADA.md
museo,instrumentos técnicos archivísticos,001_Lineamientos para la eliminación de documentos MNCR.md
museo,instrumentos técnicos archivísticos,002_Lineamientos para la transferencia de documentos al AC.md
museo,instrumentos técnicos archivísticos,003_Lineamientos gestión de documentos MNCR.md
museo,instrumentos técnicos archivísticos,004_Instructivo Cuadro de clasificación MNCR.md
museo,instrumentos técnicos archivísticos,AC-2024-O-002 Remision de diagnostico.md
museo,instrumentos técnicos archivísticos,ACT MNCR-DAF-AC-001-2024 Servicios Generales.md
museo,instrumentos técnicos archivísticos,ACT MNCR-DAF-AC-002-2024 Financiero Contable.md
museo,instrumentos técnicos archivísticos,OFI_MNCR-DAF-AC-024-2025 Cuadro JA.md
museo,instrumentos técnicos archivísticos,OFI_MNCR-DAF-AC-025-2025 CuadroDG.md
museo,instrumentos técnicos archivísticos,OFI_MNCR-DAF-AC-026-2025 CuadroAJ.md
museo,instrumentos técnicos archivísticos,OFI_MNCR-DAF-AC-027-2025 CuadroDAF.md
museo,instrumentos técnicos archivísticos,OFI_MNCR-DAF-AC-028-2025 CuadroRH.md
museo,instrumentos técnicos archivísticos,OFI_MNCR-DAF-AC-029-2025 CuadroSG.md
museo,instrumentos técnicos archivísticos,OFI_MNCR-DAF-AC-030-2025 CuadroDPPC.md
museo,instrumentos técnicos archivísticos,OFI_MNCR-DAF-AC-031-2025 CuadroDAH.md
museo,instrumentos técnicos archivísticos,OFI_MNCR-DAF-AC-032-2025 CuadroDHN.md
museo,instrumentos técnicos archivísticos,OFI_MNCR-DAF-AC-033-2025 CuadroDPM.md
museo,memorandos,MEM_MNCR-DAF-AC-001-2015.md
museo,memorandos,MEM_MNCR-DAF-AC-002-2015.md
museo,minutas de reuniones,MIN MNCR-DAF-AC-001-2024 Plani.md
museo,minutas de reuniones,MIN_MNCR-DAF-AC-001-2025 Salida DPPC.md
museo,minutas de reuniones,MIN_MNCR-DAF-AC-002-2025 Clasificacion PLAN.md
museo,minutas de reuniones,MIN_MNCR-DAF-AC-003-2025 Coleccion Pittier MNCR Version 3.md
museo,solicitudes administrativas,CONTR_ MNCR-DAF-AC-001-2025_Biblio.md
museo,solicitudes administrativas,CONTR_ MNCR-DPM-016-2025 Traslado de documentos.md
museo,solicitudes administrativas,CONTR_MNCR-DPM-02-2025.md
museo,solicitudes administrativas,SOL_ MNCR-DAF-AC-003-2025_Traslado CPU.md
museo,solicitudes administrativas,SOL_ MNCR-DAF-AC-006-2025_transporte.md
museo,solicitudes administrativas,SOL_ MNCR-DAF-AC-007-2025_transporte.md
museo,solicitudes administrativas,SOL_ MNCR-DAF-AC-008-2025_transporte.md
museo,solicitudes administrativas,SOL_ MNCR-DAF-AC-009-2025_transporte.md
museo,solicitudes administrativas,SOL_ MNCR-DAF-AC-010-2025_transporte.md
museo,solicitudes administrativas,SOL_ MNCR-DAF-AC-011-2025_transporte.md
museo,solicitudes administrativas,SOL_ MNCR-DAF-AC-012-2025_transporte.md
museo,solicitudes administrativas,SOL_ MNCR-DAF-AC-014-2025_transporte DAF-AC.md
museo,solicitudes administrativas,SOL_ MNCR-DAF-AC-015-2025_transporte teatro.md
museo,solicitudes administrativas,SOL_ MNCR-DAF-AC-016-2025_requisicion.md
museo,solicitudes administrativas,SOL_ MNCR-DAF-AC-017-2025_transporte.md
museo,solicitudes administrativas,SOL_ MNCR-DAF-PI-007-2025_ENTREGA DESHUMIFICADORES.md
archivo,actas de eliminación de documentos,Acta DGAN-DAF-AC-009-2022 Eliminación Asist AG.md
archivo,circulares,CIRCULAR DGAN-DAF-AC-001-2022.md
archivo,correspondencia,75-INFORME ARCHIVO NACIONAL.md
archivo,correspondencia,CIAP-O-1-2022  Presentación de los integrantes de la Junta Directiva CIAP 2022-23.md
archivo,correspondencia,CIAP-O-2-2022  Solicitud de capacitación en nuevas normativas del Archivo Nacional.md
archivo,correspondencia,DGAN-CD-020-2023 acuerdo 9.md
archivo,correspondencia,DGAN-CIPSEDI-06-2020 Acuerdo 5 Sesión 3-3030 DAF-AC.md
archivo,correspondencia,DGAN-DAF-AC-022-2022 CAE.md
archivo,correspondencia,DGAN-DAF-AC-1136-2021 Acceso DG.md
archivo,correspondencia,DGAN-DG-358-2019 Visto bueno horario escalonado Sofía Irola_firmado.md
archivo,expedientes de transferencias de documentos,DGAN-DAH-028-2023 Recepción transferencia DGAN.md
archivo,informes de labores,INFORME DGAN-DAF-AC-024-2022 Ejecutivo IV Trim.md
archivo,informes de participación en comisión interinstitucional de encargados de archivos públicos,INFORME DGAN-DAF-AC-026-2022 Participacion CIAP.md
archivo,informes técnicos,II semestre 2022 DSAE y Archivo Central-firmado-sellado.md
archivo,informes técnicos,INFORME DGAN-DAF-AC-020-2022 Comisiones Institucionales.md
archivo,minutas de reuniones,MINUTA DGAN-DAF-AC-002-2022.md
jurídico,consultoría,Dictamen OJ-1039-2021.md
jurídico,consultoría,Dictamen OJ-1041-2023.md
jurídico,consultoría,Dictamen OJ-1069-2023.md
jurídico,consultoría,Dictamen OJ-1092-2022.md
jurídico,consultoría,Dictamen OJ-1100-2023.md
jurídico,consultoría,Dictamen OJ-1124-2021.md
jurídico,consultoría,Dictamen OJ-15-2026.md
jurídico,consultoría,Dictamen OJ-518-2021.md
jurídico,consultoría,Dictamen OJ-586-2023.md
jurídico,consultoría,Dictamen OJ-642-2022.md
jurídico,consultoría,Dictamen OJ-917-2023.md
jurídico,consultoría,Dictamen OJ-992-2023.md
jurídico,consultoría,Opinión Jurídica OJ-211-2024.md
jurídico,consultoría,Opinión Jurídica OJ-26-2026.md
jurídico,consultoría,Opinión Jurídica OJ-510-2025.md
jurídico,consultoría,Opinión Jurídica OJ-99-2024.md
