dataset,document,expected_label,model_name,provider,model_group,model_access_type,model_api_id,response,normalized_response,is_valid_category,elapsed_time,input_tokens,output_tokens,total_tokens,estimated_cost,chars_processed,error_message,timestamp
museo,datasets_md\museo\CONTR_ MNCR-DPM-016-2025 Traslado de documentos.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,controles de préstamo de documentos,controlesdepréstamodedocumentos,True,2.372114900033921,1373.0,15.0,1388.0,0.00724,1435,,2026-06-23T23:00:36.304016+00:00
museo,datasets_md\museo\CONTR_MNCR-DPM-02-2025.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,controles de préstamo de documentos,controlesdepréstamodedocumentos,True,1.8318732000188904,2858.0,15.0,2873.0,0.014665,4153,,2026-06-23T23:00:38.150609+00:00
museo,datasets_md\museo\CONV_MNCR-DG-AJ-016-2025.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,correspondencia,correspondencia,True,1.4583902000449598,2668.0,9.0,2677.0,0.0135649999999999,5000,,2026-06-23T23:00:39.625387+00:00
jurídico,datasets_md\jurídico\Dictamen OJ-1069-2023.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,consultoría,consultoría,True,13.66215230000671,1379.0,1598.0,2977.0,0.00070815,5000,,2026-06-24T01:27:44.500640+00:00
jurídico,datasets_md\jurídico\Dictamen OJ-518-2021.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,consultoría,consultoría,True,8.968478100025095,891.0,1108.0,1999.0,0.00048775,2876,,2026-06-24T01:28:33.694614+00:00
jurídico,datasets_md\jurídico\Dictamen OJ-586-2023.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,consultoría,consultoría,True,12.354423900018446,1365.0,1539.0,2904.0,0.00068385,5000,,2026-06-24T01:28:46.050192+00:00
jurídico,datasets_md\jurídico\Dictamen OJ-642-2022.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,consultoría,consultoría,True,20.67079470003955,1332.0,2657.0,3989.0,0.0011294,5000,,2026-06-24T01:29:06.722148+00:00
jurídico,datasets_md\jurídico\Dictamen OJ-917-2023.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,consultoría,consultoría,True,12.203067100024782,1392.0,1522.0,2914.0,0.0006784,5000,,2026-06-24T01:29:18.926864+00:00
jurídico,datasets_md\jurídico\Dictamen OJ-992-2023.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,consultoría,consultoría,True,14.5301838000305,1357.0,2053.0,3410.0,0.00088905,5000,,2026-06-24T01:29:33.458369+00:00
jurídico,datasets_md\jurídico\Opinión Jurídica OJ-211-2024.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,consultoría,consultoría,True,8.472992300055921,1420.0,1117.0,2537.0,0.0005178,5000,,2026-06-24T01:29:41.932181+00:00
jurídico,datasets_md\jurídico\Opinión Jurídica OJ-26-2026.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,consultoría,consultoría,True,4.896644499967806,1355.0,612.0,1967.0,0.00031255,5000,,2026-06-24T01:29:46.829954+00:00
jurídico,datasets_md\jurídico\Opinión Jurídica OJ-510-2025.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,consultoría,consultoría,True,8.82450330001302,666.0,1036.0,1702.0,0.0004477,1904,,2026-06-24T01:29:55.656128+00:00
jurídico,datasets_md\jurídico\Opinión Jurídica OJ-99-2024.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,consultoría,consultoría,True,8.573846300016157,1364.0,1028.0,2392.0,0.0004794,5000,,2026-06-24T01:30:04.231575+00:00
archivo,datasets_md\archivo\75-INFORME ARCHIVO NACIONAL.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,informes técnicos,informestécnicos,True,8.827197100035846,780.0,1146.0,1926.0,0.0004974,1632,,2026-06-24T01:30:13.062055+00:00
archivo,datasets_md\archivo\Acta DGAN-DAF-AC-009-2022 Eliminación Asist AG.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,actas de eliminación de documentos,actasdeeliminacióndedocumentos,True,3.683264299994335,1323.0,375.0,1698.0,0.00021615,3530,,2026-06-24T01:30:16.746371+00:00
archivo,datasets_md\archivo\CIAP-O-1-2022  Presentación de los integrantes de la Junta Directiva CIAP 2022-23.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,circulares,circulares,True,27.911043799947947,998.0,3953.0,4951.0,0.0016311,3047,,2026-06-24T01:30:44.658864+00:00
archivo,datasets_md\archivo\CIAP-O-2-2022  Solicitud de capacitación en nuevas normativas del Archivo Nacional.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,correspondencia,correspondencia,True,7.543041900033131,818.0,1058.0,1876.0,0.0004641,2358,,2026-06-24T01:30:52.203097+00:00
archivo,datasets_md\archivo\CIRCULAR DGAN-DAF-AC-001-2022.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,circulares,circulares,True,5.059462600038387,1485.0,656.0,2141.0,0.00033665,4853,,2026-06-24T01:30:57.263628+00:00
archivo,datasets_md\archivo\DGAN-CD-020-2023 acuerdo 9.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,correspondencia,correspondencia,True,8.466859999927692,701.0,1066.0,1767.0,0.00046145,1592,,2026-06-24T01:31:05.732266+00:00
archivo,datasets_md\archivo\DGAN-CIPSEDI-06-2020 Acuerdo 5 Sesión 3-3030 DAF-AC.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,correspondencia,correspondencia,True,13.369772400008516,821.0,1843.0,2664.0,0.00077825,2052,,2026-06-24T01:31:19.103514+00:00
archivo,datasets_md\archivo\DGAN-DAF-AC-022-2022 CAE.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,correspondencia,correspondencia,True,5.024531200062484,690.0,627.0,1317.0,0.0002852999999999,1651,,2026-06-24T01:31:24.130171+00:00
archivo,datasets_md\archivo\DGAN-DAF-AC-1136-2021 Acceso DG.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,correspondencia,correspondencia,True,23.52829709998332,1467.0,3025.0,4492.0,0.00128335,5000,,2026-06-24T01:31:47.658961+00:00
archivo,datasets_md\archivo\DGAN-DAH-028-2023 Recepción transferencia DGAN.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,expedientes de transferencias de documentos,expedientesdetransferenciasdedocumentos,True,6.944576100097038,651.0,880.0,1531.0,0.00038455,1349,,2026-06-24T01:31:54.605153+00:00
archivo,datasets_md\archivo\DGAN-DG-358-2019 Visto bueno horario escalonado Sofía Irola_firmado.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,correspondencia,correspondencia,True,5.490882799960673,685.0,624.0,1309.0,0.00028385,1444,,2026-06-24T01:32:00.096937+00:00
archivo,datasets_md\archivo\II semestre 2022 DSAE y Archivo Central-firmado-sellado.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,informes técnicos,informestécnicos,True,8.78902929998003,1254.0,1074.0,2328.0,0.0004923,5000,,2026-06-24T01:32:08.887723+00:00
archivo,datasets_md\archivo\INFORME DGAN-DAF-AC-020-2022 Comisiones Institucionales.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,informes técnicos,informestécnicos,True,16.04346750001423,1321.0,1827.0,3148.0,0.00079685,5000,,2026-06-24T01:32:24.932890+00:00
archivo,datasets_md\archivo\INFORME DGAN-DAF-AC-024-2022 Ejecutivo IV Trim.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,informes de labores,informesdelabores,True,17.626281499979086,794.0,2083.0,2877.0,0.0008729,1930,,2026-06-24T01:32:42.560692+00:00
jurídico,datasets_md\jurídico\Dictamen OJ-1092-2022.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,consultoría,consultoría,True,10.61866480007302,987.0,1304.0,2291.0,0.00057095,3279,,2026-06-24T01:27:55.120514+00:00
archivo,datasets_md\archivo\MINUTA DGAN-DAF-AC-002-2022.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,minutas de reuniones,minutasdereuniones,True,6.505465500056744,1358.0,667.0,2025.0,0.0003347,4418,,2026-06-24T01:32:58.947983+00:00
museo,datasets_md\museo\Traslado de activos Jerry González a Sofía Irola.md,,gemini_3_1_pro_preview,google,main,api,gemini-3.1-pro-preview,solicitudes administrativas,solicitudesadministrativas,True,12.714120600023309,995.0,1050.0,2045.0,0.01459,2124,,2026-06-24T03:24:49.216375+00:00
museo,datasets_md\museo\VACACIONES-Sofia Irola-01JUL2025.md,,gemini_3_1_pro_preview,google,main,api,gemini-3.1-pro-preview,solicitudes administrativas,solicitudesadministrativas,True,8.589553900063038,789.0,942.0,1731.0,0.012882,1348,,2026-06-24T03:24:57.807051+00:00
jurídico,datasets_md\jurídico\Dictamen OJ-1100-2023.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,consultoría,consultoría,True,10.688415399985388,1383.0,1404.0,2787.0,0.00063075,5000,,2026-06-24T01:28:05.810300+00:00
jurídico,datasets_md\jurídico\Dictamen OJ-1039-2021.md,,gemini_3_1_pro_preview,google,main,api,gemini-3.1-pro-preview,consultoría,consultoría,True,9.870284300064668,1465.0,701.0,2166.0,0.011342,5000,,2026-06-24T03:25:23.189436+00:00
jurídico,datasets_md\jurídico\Dictamen OJ-1041-2023.md,,gemini_3_1_pro_preview,google,main,api,gemini-3.1-pro-preview,consultoría,consultoría,True,6.33180960000027,1503.0,584.0,2087.0,0.010014,5000,,2026-06-24T03:25:29.522608+00:00
jurídico,datasets_md\jurídico\Dictamen OJ-1124-2021.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,consultoría,consultoría,True,7.429161599953659,1373.0,916.0,2289.0,0.00043505,5000,,2026-06-24T01:28:13.240808+00:00
museo,datasets_md\museo\DG-2024-O-285 designación_encargada_Archivo_comisión_CIAP.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,correspondencia,correspondencia,True,1.2372971000149846,1247.0,9.0,1256.0,0.00646,1435,,2026-06-23T23:00:40.882883+00:00
museo,datasets_md\museo\DG-2024-O-344 Conformacion CISED.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,correspondencia,correspondencia,True,1.154179700068198,1755.0,9.0,1764.0,0.009,2637,,2026-06-23T23:00:42.055859+00:00
museo,datasets_md\museo\DG-2024-O-345 Diagnostico AC.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,correspondencia,correspondencia,True,1.5149924999568611,2457.0,9.0,2466.0,0.01251,4482,,2026-06-23T23:00:43.584638+00:00
museo,datasets_md\museo\DGAN-DG-581-2024 préstamo activos Arch Museo Nac.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,correspondencia,correspondencia,True,1.2348265999462456,1314.0,9.0,1323.0,0.006795,1537,,2026-06-23T23:00:44.836128+00:00
museo,datasets_md\museo\EVALUACIÓN DEL DESEMPEÑO 2024 SIR febrero.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,expedientes de trámites laborales,expedientesdetrámiteslaborales,True,3.192602099967189,3195.0,15.0,3210.0,0.01635,5000,,2026-06-23T23:00:48.046665+00:00
museo,datasets_md\museo\Factura a Museo por hospedaje Sofia Irola.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,correspondencia,correspondencia,True,1.21533520007506,2606.0,9.0,2615.0,0.013255,3659,,2026-06-23T23:00:49.278099+00:00
museo,datasets_md\museo\FORMULARIO EVALUACIÓN DEL DESEMPEÑO 2024 SIR.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,expedientes de trámites laborales,expedientesdetrámiteslaborales,True,7.699460400035605,3132.0,15.0,3147.0,0.016035,5000,,2026-06-23T23:00:56.992865+00:00
museo,datasets_md\museo\GIRHA-2024-O-672-2024. Srita. Lisseth Rojas Villarreal.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,expedientes sobre voluntariado,expedientessobrevoluntariado,True,1.5083183000097051,1917.0,16.0,1933.0,0.0099849999999999,2962,,2026-06-23T23:00:58.517408+00:00
museo,datasets_md\museo\INF MNCR-DAF-AC-002-2024 setiembre.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes de labores,informesdelabores,True,1.2312602000311017,1943.0,9.0,1952.0,0.00994,3225,,2026-06-23T23:00:59.766024+00:00
museo,datasets_md\museo\INF MNCR-DAF-AC-003-2024 octubre.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes de labores,informesdelabores,True,1.3995463999453932,2115.0,9.0,2124.0,0.0108,3632,,2026-06-23T23:01:01.179465+00:00
museo,datasets_md\museo\INF MNCR-DAF-AC-004-2024 teletrabajo octubre.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,expedientes de trámites laborales,expedientesdetrámiteslaborales,True,1.3488437000196427,2147.0,15.0,2162.0,0.01111,3220,,2026-06-23T23:01:02.542616+00:00
museo,datasets_md\museo\INF MNCR-DAF-AC-005-2024 noviembre.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes de labores,informesdelabores,True,1.6330391000956297,1845.0,9.0,1854.0,0.00945,2915,,2026-06-23T23:01:04.190950+00:00
museo,datasets_md\museo\INF MNCR-DAF-AC-006-2024 teletrabajo noviembre.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes de labores,informesdelabores,True,1.749874599976465,2584.0,9.0,2593.0,0.0131449999999999,4143,,2026-06-23T23:01:05.957415+00:00
museo,datasets_md\museo\INF MNCR-DAF-AC-007-2024 participación comisiones.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes de labores,informesdelabores,True,1.1923164998879656,2267.0,9.0,2276.0,0.0115599999999999,3985,,2026-06-23T23:01:07.170826+00:00
museo,datasets_md\museo\INF MNCR-DAH-101-2024 Reporte de incidente Mapoteca DAH VF 1.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes de inspección,informesdeinspección,True,1.8261473999591544,2560.0,10.0,2570.0,0.01305,5000,,2026-06-23T23:01:09.013482+00:00
museo,datasets_md\museo\Informe Anual de Desarrollo Archivístico 2024-2025.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes del índice de desarrollo archivístico,informesdelíndicededesarrolloarchivístico,True,1.3637652000179514,2922.0,19.0,2941.0,0.015085,5000,,2026-06-23T23:01:10.400402+00:00
museo,datasets_md\museo\INF_MNCR-DAF-AC-001-2025 teletrabajo enero.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes de labores,informesdelabores,True,1.3037557000061497,2677.0,9.0,2686.0,0.01361,4371,,2026-06-23T23:01:11.719946+00:00
museo,datasets_md\museo\INF_MNCR-DAF-AC-002-2025 labores enero.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes de labores,informesdelabores,True,1.2502601000014693,2028.0,9.0,2037.0,0.010365,3449,,2026-06-23T23:01:12.984925+00:00
museo,datasets_md\museo\INF_MNCR-DAF-AC-003-2025 teletrabajo febrero.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes de labores,informesdelabores,True,1.2393969000549987,2689.0,9.0,2698.0,0.01367,4316,,2026-06-23T23:01:14.238045+00:00
museo,datasets_md\museo\INF_MNCR-DAF-AC-004-2025 labores febrero.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes de labores,informesdelabores,True,1.2738980000140143,2032.0,9.0,2041.0,0.0103849999999999,3326,,2026-06-23T23:01:15.528965+00:00
museo,datasets_md\museo\INF_MNCR-DAF-AC-005-2025 Asesoria DAH.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes técnicos producidos,informestécnicosproducidos,True,1.393825800041668,2690.0,13.0,2703.0,0.013775,5000,,2026-06-23T23:01:16.945984+00:00
museo,datasets_md\museo\INF_MNCR-DAF-AC-006-2025 labores marzo.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes de labores,informesdelabores,True,1.2246591000584883,2396.0,9.0,2405.0,0.012205,4283,,2026-06-23T23:01:18.191004+00:00
museo,datasets_md\museo\INF_MNCR-DAF-AC-007-2025 teletrabajo marzo.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes de labores,informesdelabores,True,1.4068602999905124,2777.0,9.0,2786.0,0.01411,4467,,2026-06-23T23:01:19.614948+00:00
museo,datasets_md\museo\INF_MNCR-DAF-AC-008-2025 reacomodo.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes técnicos producidos,informestécnicosproducidos,True,1.9113304000347853,2850.0,13.0,2863.0,0.014575,5000,,2026-06-23T23:01:21.543415+00:00
museo,datasets_md\museo\INF_MNCR-DAF-AC-009-2025 labores abril.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes de labores,informesdelabores,True,1.599962400039658,2045.0,9.0,2054.0,0.01045,3384,,2026-06-23T23:01:23.159436+00:00
museo,datasets_md\museo\INF_MNCR-DAF-AC-010-2025 teletrabajo abril.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes de labores,informesdelabores,True,1.7741911000339314,2538.0,9.0,2547.0,0.012915,3920,,2026-06-23T23:01:24.949037+00:00
museo,datasets_md\museo\INF_MNCR-DAF-AC-011-2025 DAH conservacion.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes de inspección,informesdeinspección,True,2.000253399950452,3293.0,10.0,3303.0,0.016715,5000,,2026-06-23T23:01:26.967374+00:00
museo,datasets_md\museo\INF_MNCR-DAF-AC-012-2025 labores mayo.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes de labores,informesdelabores,True,1.288600999978371,2143.0,9.0,2152.0,0.0109399999999999,3585,,2026-06-23T23:01:28.272449+00:00
museo,datasets_md\museo\INF_MNCR-DAF-AC-013-2025 teletrabajo mayo.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,expedientes de trámites laborales,expedientesdetrámiteslaborales,True,3.0070241999346763,2296.0,15.0,2311.0,0.011855,3298,,2026-06-23T23:01:31.292708+00:00
museo,datasets_md\museo\INF_MNCR-DAF-AC-014-2025 Asesoria DPPC.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes técnicos producidos,informestécnicosproducidos,True,1.6887737000361085,2553.0,13.0,2566.0,0.01309,5000,,2026-06-23T23:01:32.997377+00:00
museo,datasets_md\museo\INF_MNCR-DAF-AC-015-2025 labores junio.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes de labores,informesdelabores,True,1.2654910000273958,2359.0,9.0,2368.0,0.01202,4138,,2026-06-23T23:01:34.278707+00:00
museo,datasets_md\museo\INF_MNCR-DAF-AC-016-2025 teletrabajo junio.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,informes de labores,informesdelabores,True,1.729386700084433,2740.0,9.0,2749.0,0.0139249999999999,4297,,2026-06-23T23:01:36.027775+00:00
