pdf,dataset,categoria
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dirección General\2024\CE-17SET2024-Ifigenia Quintanilla Participacion en Comite nacional.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dirección General\2024\DG-2024-O-285 designación_encargada_Archivo_comisión_CIAP.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dirección General\2024\DG-2024-O-344 Conformacion CISED.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dirección General\2024\DG-2024-O-345 Diagnostico AC.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dirección General\2024\OFI MNCR-DAF-AC-004-2024 Respuesta DG 362.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dirección General\2024\OFI MNCR-DAF-AC-010-2024 deshumidificadores MCJ.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dirección General\2024\OFI MNCR-DG-362-2024 Anexo 1 PSJO-124-2024.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dirección General\2024\OFI MNCR-DG-362-2024 Anexo 2 Documentos Escaneados.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dirección General\2024\OFI MNCR-DG-362-2024 _Solicitud de información piezas pasito Iglesia Colonial Orosi.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dirección General\2024\OFI MNCR-DG-459-2024 deshumificador.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dirección General\2025\OFI_MNCR-DAF-AC-008-2025 DG papel.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dirección General\2025\OFI_MNCR-DAF-AC-014-2025 Establecer convenio.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Informatica\2024\OFI MNCR-DAF-AC-012-2024 UI Computadora.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Informatica\2025\OFI_MNCR-DAF-AC-016-2025 Inf.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Junta Administrativa\2024\OF MNCR-JA-386-2024 AC donación deshumidificadores MCJ act27 a25.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Junta Administrativa\2024\OFI MNCR-JA-286-2024 CISED.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Junta Administrativa\2025\OFI_MNCR-JA-117-2025 DG Resguardo de archivos del MNCR Act 07 Ac 09-firmado.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Ministerio de Cultura y Juventud\MCJ-DVA-1196-2024 Marlen Palma Traslado deshumificadores al MNCR.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Ministerio de Cultura y Juventud\OFI MNCR-DAF-AC-013-2024 MCJ acuerdo JA.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Proveeduría Institucional\OFI MNCR-DAF-AC-008-2024 bienes.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Proveeduría Institucional\OFI MNCR-DAF-AC-009-2024 bienes.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Proveeduría Institucional\OFI MNCR-DAF-PI-095-2024  Respuesta a oficio OFI MNCR-DAF-AC-008-2024 - Asignación de bienes -colecciones-.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Exp. Proyecto Archivo Digital\OFI_MNCR-DAF-AC-021-2025 JA.pdf,museo,expedientes de proyectos y programas institucionales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. Proyecto Archivo Digital\PRO_ MNCR-DAF-AC-001-2025 Proyecto Archivo Digital.pdf,museo,expedientes de proyectos y programas institucionales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. Proyecto Postulac. Memoria Mundo\MIN_MNCR-DAF-AC-003-2025 Coleccion Pittier MNCR Version 3.pdf,museo,expedientes de proyectos y programas institucionales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. Proyecto Postulac. Memoria Mundo\OFI_MNCR-DAF-AC-001-2025 DHN.pdf,museo,expedientes de proyectos y programas institucionales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. Proyecto Postulac. Memoria Mundo\OFI_MNCR-DAF-AC-002-2025 DPPC.pdf,museo,expedientes de proyectos y programas institucionales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. Proyecto Postulac. Memoria Mundo\OFI_MNCR-DAF-AC-004-2025 DPPC 1.pdf,museo,expedientes de proyectos y programas institucionales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. Proyecto Postulac. Memoria Mundo\OFI_MNCR-DAF-AC-010-2025 DG avances.pdf,museo,expedientes de proyectos y programas institucionales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. Proyecto Postulac. Memoria Mundo\OFI_MNCR-DAF-AC-011-2025 DPPC.pdf,museo,expedientes de proyectos y programas institucionales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. Proyecto Postulac. Memoria Mundo\OFI_MNCR-DAF-AC-012-2025 DHN.pdf,museo,expedientes de proyectos y programas institucionales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. Proyecto Postulac. Memoria Mundo\OFI_MNCR-DAF-AC-013-2025 Memoria del Mundo.pdf,museo,expedientes de proyectos y programas institucionales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. Proyecto Postulac. Memoria Mundo\OFI_MNCR-DG-036-2025_Colección_Henry_Pitter.pdf,museo,expedientes de proyectos y programas institucionales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. Proyecto Postulac. Memoria Mundo\Proyecto\Taller Pittier Memoria del Mundo VF 6NOV.pdf,museo,expedientes de proyectos y programas institucionales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. transferencias de documentos\T01-2025 DG\Lista de remision DG T01-2025.pdf,museo,expedientes de transferencias de documentos
C:\\Users\\PC\\Downloads\\A\Museo\Exp. transferencias de documentos\T01-2025 DG\OFI_MNCR-DG-030-2025 _envio transferencia T01-2025.pdf,museo,expedientes de transferencias de documentos
C:\\Users\\PC\\Downloads\\A\Museo\Exp. transferencias de documentos\T01-2025 DG\OFI_MNCR-DG-031-2025_salida cajas.pdf,museo,expedientes de transferencias de documentos
C:\\Users\\PC\\Downloads\\A\Museo\Exp. transferencias de documentos\T02-2025 AFC\Lista de remision AFC T02-2025.pdf,museo,expedientes de transferencias de documentos
C:\\Users\\PC\\Downloads\\A\Museo\Exp. transferencias de documentos\T02-2025 AFC\MEM_MNCR-DAF-AC-001-2015.pdf,museo,expedientes de transferencias de documentos
C:\\Users\\PC\\Downloads\\A\Museo\Exp. transferencias de documentos\T02-2025 AFC\OFI MNCR-DAF-AFC-015-2025    Remision de expedientes al Archivo Institucional.pdf,museo,expedientes de transferencias de documentos
C:\\Users\\PC\\Downloads\\A\Museo\Exp. transferencias de documentos\T04-2025 RH\Lista de remision RH T04-2025.pdf,museo,expedientes de transferencias de documentos
C:\\Users\\PC\\Downloads\\A\Museo\Exp. transferencias de documentos\T04-2025 RH\OFI MNCR-DAF-GIRHA-679-2025 Remisión de expedientes - Archivo Central.pdf,museo,expedientes de transferencias de documentos
C:\\Users\\PC\\Downloads\\A\Museo\Exp. transferencias de documentos\T05-2025 DPM\Lista de remision T05-2025 DPM.pdf,museo,expedientes de transferencias de documentos
C:\\Users\\PC\\Downloads\\A\Museo\Exp. transferencias de documentos\T05-2025 DPM\MEM_MNCR-DAF-AC-003-2025.pdf,museo,expedientes de transferencias de documentos
C:\\Users\\PC\\Downloads\\A\Museo\Exp. transferencias de documentos\T05-2025 DPM\OFI_MNCR-DPM-180-2025.pdf,museo,expedientes de transferencias de documentos
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\ASISTENCIA-Sofia Irola-01NOV2024.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\ASISTENCIA-Sofia Irola-05y08NOV2024.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\ASISTENCIA-SOFIA IROLA-06DIC2024.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\ASISTENCIA-Sofia Irola-06y10SET2024.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\ASISTENCIA-Sofia Irola-10y11DIC2024.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\ASISTENCIA-Sofia Irola-12DIC2024.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\ASISTENCIA-Sofia Irola-16-19DIC2024.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\ASISTENCIA-Sofia Irola-17al19SET2024.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\ASISTENCIA-Sofia Irola-18OCT2024.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\ASISTENCIA-Sofia Irola-19NOV2024.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\ASISTENCIA-Sofia Irola-22NOV2024.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\ASISTENCIA-Sofia Irola-26SET2024.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\Contrato de Teletrabajo Sofia Irola 1.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\FORMULARIO EVALUACIÓN DEL DESEMPEÑO 2024 SIR.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\Inscripción capacitacion DIC2024 SIR.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\Justificación de asistencia Sofia Irola 01-08.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\Justificación de asistencia Sofia Irola 02y03-09.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\Justificación de asistencia Sofia Irola 05-09.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\Justificación de asistencia Sofia Irola 08-08.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\Justificación de asistencia Sofia Irola 16-07.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\Justificación de asistencia Sofia Irola 18-07.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\Justificación de asistencia Sofia Irola 21-08 anexo.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\Justificación de asistencia Sofia Irola 21-08.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\Justificación de asistencia Sofia Irola 22-07.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\Justificación de asistencia Sofia Irola 24-07.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\Justificación de asistencia Sofia Irola 29-08 anexo.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\Justificación de asistencia Sofia Irola 29-08.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\Justificación de asistencia Sofia Irola 31-07.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\Justificación de asistencia Sofia Irola.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\OFI MNCR-DAF-AC-007-2024 Cambio de horario.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\OFI MNCR-DAF-GIRHA-771-2024. Sofía Irola Rojas. Contrato Teletrabajo.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\SOL MNCR-DAF-11DIC2024 Transporte AC.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\SOL MNCR-DAF-21NOV2024 Traslado de Bienes- Deshumidificador.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\SOL MNCR-DAF-22NOV2024 Traslado de Bienes.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\SOL MNCR-DAF-AC-17Y18SET2024 Capacitación SIR.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\SOL MNCR-DAF-AC-19SET2024 Capacitación SIR.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\Solicitud vacaciones Sofia Irola 26-07.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\Traslado de activos Jerry González a Sofía Irola.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\VACACIONES-Sofia Irola-09SET2024.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2024\VACACIONES-Sofia Irola-27NOV al 02DIC2024.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\40-2025 MN Sofía Irola Rojas.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\76-2025 MN Sofía Irola Rojas 1.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\ASISTENCIA- Sofía Irola-07MAR2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\ASISTENCIA- Sofía Irola-10DIC2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\ASISTENCIA- Sofía Irola-15JUL2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\ASISTENCIA- Sofía Irola-16ABR2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\ASISTENCIA- Sofía Irola-16JUL2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\ASISTENCIA- Sofía Irola-17OCT2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\ASISTENCIA- Sofía Irola-18FEB2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\ASISTENCIA- Sofía Irola-18JUN2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\ASISTENCIA- Sofía Irola-19FEB2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\ASISTENCIA- Sofía Irola-20 y 24JUN2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\ASISTENCIA- Sofía Irola-20y21FEB2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\ASISTENCIA- Sofía Irola-22ABR2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\ASISTENCIA- Sofía Irola-23SET2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\ASISTENCIA- Sofía Irola-28-30JUL2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\ASISTENCIA-Sofia Irola-15y21ENE2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\Boleta de Capacitación SIR.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\Capacitacion SIR_JUL2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\Capacitación más 12 horas Sofia Irola.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\Capacitación SIR 7MAR.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\Capacitación SIR MICITT.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\EVALUACIÓN DEL DESEMPEÑO 2024 SIR febrero.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\Factura a Museo por hospedaje Sofia Irola.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\INF_MNCR-DAF-AC-023-2025 teletrabajo setiembre.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\OFI_MNCR-DAF-AC-003-2025 RH.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\OFI_MNCR-DAF-AC-005-2025 RH.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\OFI_MNCR-DAF-AC-006-2025 RH.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\OFI_MNCR-DAF-AC-009-2025 RH.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\OFI_MNCR-DAF-AC-017-2025 RH cambio de horario.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\OFI_MNCR-DAF-AC-018-2025 JDAF.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\OFI_MNCR-DAF-AC-019-2025 RH.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\OFI_MNCR-DAF-AC-034-2025 RH.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\OFI_MNCR-DG-222-2025 carta recomendación Sofía Irola.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\OFI_MNCR-DG-314-2025_uso vehículo Institucional.pdf,museo,expedientes de trámites laborales
